attack_type,url,payload,response_code,blocked,latency_ms,body_snippet,notes
normal,http://coraza:8080/products?page=80&_rnd=ac3884,/products?page=80,200,0,83,"<!--   ~ Copyright (c) 2014-2025 Bjoern Kimminich & the OWASP Juice Shop contributors.   ~ SPDX-License-Identifier: MIT   -->  <!doctype html> <html lang=""en"" data-beasties-container> <head>   <meta charset=""utf-8"">   <title>OWASP Juice Shop</title>   <meta name=""description"" content=""Probably the most modern and sophisticated insecure web application"">   <meta name=""viewport"" content=""width=device-width, initial-scale=1"">   <link id=""favicon"" rel=""icon"" type=""image/x-icon"" href=""assets/public/f",
normal,http://coraza:8080/blog?page=98&_rnd=31f915,/blog?page=98,200,0,55,"<!--   ~ Copyright (c) 2014-2025 Bjoern Kimminich & the OWASP Juice Shop contributors.   ~ SPDX-License-Identifier: MIT   -->  <!doctype html> <html lang=""en"" data-beasties-container> <head>   <meta charset=""utf-8"">   <title>OWASP Juice Shop</title>   <meta name=""description"" content=""Probably the most modern and sophisticated insecure web application"">   <meta name=""viewport"" content=""width=device-width, initial-scale=1"">   <link id=""favicon"" rel=""icon"" type=""image/x-icon"" href=""assets/public/f",
lfi,http://coraza:8080/?file=../../../../etc/passwd%00&_rnd=dddb82,/?file=../../../../etc/passwd%00,403,1,5,,
cmdinj,http://coraza:8080/?input=; /bin/ls -la&_rnd=84df34,/?input=; /bin/ls -la,403,1,3,,
xss,"http://coraza:8080<a href=""javascript:alert(1)"">x</a>?_rnd=0ec694","<a href=""javascript:alert(1)"">x</a>",403,1,-1,"Failed to parse: http://coraza:8080<a href=""javascript:alert(1)"">x</a>?_rnd=0ec694",
xss,http://coraza:8080<iframe src='javascript:alert(1)'></iframe>?_rnd=e43019,<iframe src='javascript:alert(1)'></iframe>,403,1,-1,Failed to parse: http://coraza:8080<iframe src='javascript:alert(1)'></iframe>?_rnd=e43019,
normal,http://coraza:8080/products?page=189&_rnd=5a110b,/products?page=189,200,0,46,"<!--   ~ Copyright (c) 2014-2025 Bjoern Kimminich & the OWASP Juice Shop contributors.   ~ SPDX-License-Identifier: MIT   -->  <!doctype html> <html lang=""en"" data-beasties-container> <head>   <meta charset=""utf-8"">   <title>OWASP Juice Shop</title>   <meta name=""description"" content=""Probably the most modern and sophisticated insecure web application"">   <meta name=""viewport"" content=""width=device-width, initial-scale=1"">   <link id=""favicon"" rel=""icon"" type=""image/x-icon"" href=""assets/public/f",
sqli,http://coraza:8080or 1=1 --?_rnd=db3fb0,or 1=1 --,200,0,-1,Failed to parse: http://coraza:8080or 1=1 --?_rnd=db3fb0,
sqli,http://coraza:8080%27AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA?_rnd=a615fa,%27AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,200,0,-1,Failed to parse: http://coraza:8080%27AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA?_rnd=a615fa,
xss,http://coraza:8080<svg/onload=alert(1)>?_rnd=40554e,<svg/onload=alert(1)>,403,1,-1,Failed to parse: http://coraza:8080<svg/onload=alert(1)>?_rnd=40554e,
