system,attack_type,TP,FP,FN,TN,TPR,FPR,ACC
waf,cmdinj,20,0,20,0,0.5,0.0,0.5
waf,lfi,35,0,5,0,0.875,0.0,0.875
waf,sqli,30,0,215,0,0.12244897959183673,0.0,0.12244897959183673
waf,xss,85,0,115,0,0.425,0.0,0.425
modsec,cmdinj,30,0,10,0,0.75,0.0,0.75
modsec,lfi,40,0,0,0,1.0,0.0,1.0
modsec,sqli,220,0,25,0,0.8979591836734694,0.0,0.8979591836734694
modsec,xss,190,0,10,0,0.95,0.0,0.95
coraza,cmdinj,30,0,10,0,0.75,0.0,0.75
coraza,lfi,40,0,0,0,1.0,0.0,1.0
coraza,sqli,220,0,25,0,0.8979591836734694,0.0,0.8979591836734694
coraza,xss,195,0,5,0,0.975,0.0,0.975
